ranking	author	emoji unicode	emoji symbol	description	frequency	Possible Error	unicode_scalar		
1	naraaziza	\ud83e\udef6\ud83c\udffd	🧶	Yarn 	23		1FAF6+1F3FE	🫶	Heart Hands with Medium-Dark Skin Tone
2	naraaziza	\ud83e\udd0d	🤍	White Heart	20		1F90D		
3	naraaziza	\ud83e\udd63	🥣	Bowl with Spoon	4	🤖	1F963		
4	naraaziza	\ud83c\udf44	🔄	Repeat Button	4	👌	1F344	🍄	Mushroom
5	naraaziza	ud83d\udda4	🖤	Black Heart	3	🧤	1F5A4		
6	naraaziza	\ud83e\udee7	🧧	Red Envelope	3		1FAE7	🫧	Bubbles
7	naraaziza	\ud83e\uddda\ud83c\udffd\u200d\u2640	🧚🏽‍♀️	Woman Fairy with Medium-Dark Skin Tone	3		1F9DA+1F3FE	🧚🏾‍♀️	
8	naraaziza	\ud83e\uddf6	🧶	Yarn	3	repetition?	1F9F6		
9	naraaziza	\ud83c\udfe1	🏡	House with Garden	3		1F3E1		
10	naraaziza	\ud83c\udf4e	🍎	Red Apple	3	📮	1F34E		
11	naraaziza	\ud83d\ude2d	😭	Loudly Crying Face	3		1F62D		
12	naraaziza	\ud83c\udf52	🍒	Cherries	2		1F352		
13	naraaziza	\ud83e\uded9	🥙	Stuffed Flatbread	1	🥽	1FAD9	🫙	Jar?
14	naraaziza	\ud83e\udd64	🥤	Cup with Straw	1		1F964		
15	naraaziza	\ud83e\uddcb	🥋	Martial Arts Uniform	1	🧻	1F9CB	🧋	Bubble Tea?
