author	ranking	id	Emoji Symbol		frequency	Possible Error		unicode_scalar	
sarah_wildmothering	1	\ud83d\udd4a	🕊	Dove of Peace	170			1F54A	
sarah_wildmothering	2	\ud83e\udd0d	🤍	White Heart	28			1F90D	
sarah_wildmothering	3	\ud83d\udd6f	🕯️	Candle	9			1F56F	
sarah_wildmothering	4	\ud83e\udef6\ud83c\udffc	🤶🏼	Heart Hands with Medium Light Skin Tone	8	🧚🏻	🫶	1FAF6+1F3FC	… + skin tone
sarah_wildmothering	5	\ud83d\udc8c	💌	Love Letter	4			1F48C	
sarah_wildmothering	6	\ud83c\udf37	🌷	Tulip	3			1F337	
sarah_wildmothering	7	\ud83e\uddda\ud83c\udffb	🧚🏻	Fairy with Light Skin Tone	3	🧝🏻		1F9DA+1F3FB	… + skin tone
sarah_wildmothering	8	\ud83e\udea1	🪡	Sewing Needle	3	🚡	🪡	1FAA1	
sarah_wildmothering	9	\ud83d\udc13	🐓	Rooster	3			1F413	
sarah_wildmothering	10	\ud83e\uddfa	🧺	Basket	3			1F9FA	
sarah_wildmothering	11	\ud83c\udf70	🍰	Shortcake	2			1F370	
sarah_wildmothering	12	\ud83c\udf80	🎀	Ribbon	2			1F380	
sarah_wildmothering	13	\ud83c\udf38	🌸	Cherry Blossom	2			1F338	
sarah_wildmothering	14	\u2665	♥	Black Heart Suit	2			2665+FE0F	
sarah_wildmothering	15	\ud83d\ude02	😂	Face with Tears of Joy	2			1F602	
