author	word	value
sarah_wildmothering	life	64
sarah_wildmothering	children	61
sarah_wildmothering	#sahm	51
sarah_wildmothering	beautiful	50
sarah_wildmothering	#homemaker	45
sarah_wildmothering	time	42
sarah_wildmothering	love	37
sarah_wildmothering	family	33
sarah_wildmothering	#homemaking	31
sarah_wildmothering	mother	30
sarah_wildmothering	#motherhood	23
sarah_wildmothering	people	23
sarah_wildmothering	day	23
sarah_wildmothering	#stayathomewife	21
sarah_wildmothering	heart	21
sarah_wildmothering	women	20
sarah_wildmothering	body	19
sarah_wildmothering	motherhood	18
sarah_wildmothering	feel	18
sarah_wildmothering	childhood	17
sarah_wildmothering	hands	17
sarah_wildmothering	#simplelife	17
sarah_wildmothering	#motherhoodisdarling	17
sarah_wildmothering	mothers	17
