author	ranking	emoji unicode	emoji symbol	description	frequency	unicode_scalar	
willow.allen	1	\ud83e\udd0d	🤍	White Heart	20	1F90D	
willow.allen	2	\ud83d\udc99	💙	Blue Heart	13	1F499	
willow.allen	3	\u2744	❄️	Snowflake	11	2744	
willow.allen	4	\ud83e\udde1	🧡	Orange Heart	11	1F9E1	
willow.allen	5	\u2764	❤️	Red Heart	10	2764+FE0F	
willow.allen	6	\ud83e\udd79	🥹	Face Holding Back Tears	6	1F979	
willow.allen	7	\ud83d\udc95	💕	Two Hearts	6	1F495	
willow.allen	8	\u2728	✨	Sparkles	5	2728	
willow.allen	9	\ud83d\udda4	🖤	Black Heart	5	1F5A4	
willow.allen	10	\ud83e\uddf3	🧳	Luggage	3	1F9F3	
willow.allen	11	\ud83d\udc8d	💍	Ring	3	1F48D	
willow.allen	12	\ud83c\udf32	🌲	Evergreen Tree	2	1F332	
willow.allen	13	\ud83c\udf38	🌸	Cherry Blossom	2	1F338	
willow.allen	14	\ud83d\udc90	💐	Bouquet	2	1F490	
willow.allen	15	\ud83c\udfd9	🏹	Bow and Arrow	2	1F3D9	Cityscape
