author	word	value
willow.allen	indigenous	23
willow.allen	day	16
willow.allen	beautiful	16
willow.allen	people	13
willow.allen	life	12
willow.allen	arctic	12
willow.allen	community	10
willow.allen	inuvialuit	9
willow.allen	heart	9
willow.allen	inuit	9
willow.allen	culture	8
willow.allen	love	8
willow.allen	happy	8
willow.allen	grateful	7
willow.allen	family	7
willow.allen	peoples	7
willow.allen	communities	7
willow.allen	weeks	6
willow.allen	joy	6
willow.allen	wait	6
willow.allen	inuvik	6
willow.allen	time	6
willow.allen	honour	6
willow.allen	award	6
willow.allen	youth	6
